en,zh,scope,source,status,notes
# 系列					游戏内系列名只用「创升纪元」。早期官方/维基「暗杀神」不进游戏。,,,,,
Ascension,创升纪元,series,official-chuangsheng,approved,游戏内系列名。方盒子365/维基作「暗杀神」，游戏内不使用。
Chronicles of the Godslayer,《弑神编年史》,series,official-anshashen,approved,（旧：Chronicles的弑神者）
Deckbuilding Game,牌组构筑游戏,series,community,approved,
# 世界,,,,,
Arha,亚哈,world,official-anshashen,approved,官方卡名「亚哈新兵」。360百科作「阿罗汉」，不用。
Elements,元素,world,official-chuangsheng,approved,《创升纪元：元素的馈赠》
Godslayer,弑神者,world,official-anshashen,approved,荣誉最高者获得的称号。
Hedron,多面体,world,community,approved,机械派故乡。360百科未译专名。
Kor,科尔,world,community,approved,FLAVOR_KOR 人物名（救赎）
Logos,逻各斯,world,community,approved,
Ogo,奥戈,world,community,approved,360百科作「奥歌」；卡名与扩展沿用「奥戈」。
Samael,萨麦尔,world,official-anshashen,approved,
Samael the Fallen,堕落之神萨麦尔,world,official-anshashen,approved,维基亦作「萨麦尔 堕落之神」。
Vigil,祈夜,world,official-anshashen,approved,维基/360百科。世界与王都同名。
Xeron,泽伦,world,community,approved,卡名用「泽伦」。《创升纪元：元素的馈赠》背景作「希戎」。
# 派系					图鉴侧栏。Monster 兼作卡牌类型，scope 留 faction 以生成首字放大。,,,,,
Common,普通,faction,community,approved,图鉴侧栏。勿用「中立」。
Enlightened,圣贤,faction,community,approved,360百科/方塔桌游。勿用「启迪」。
Lifebound,命约,faction,community,approved,360百科/方塔桌游。勿用「生命」（与上古山谷生命指示物冲突）。
Mechana,机械,faction,community,approved,360百科/方塔桌游。
Monster,怪物,faction,official-anshashen,approved,图鉴侧栏 / 卡牌类型。
Void,虚空,faction,official-anshashen,approved,派系名。区域名用「虚空区」。
# 类型,,,,,
Construct,神器,type,official-anshashen,approved,早期官方译法。勿用「建筑/构装」。
Event,事件,type,community,approved,
Hero,英雄,type,official-anshashen,approved,
Portal,传送门,type,community,approved,推广卡。
Soul Gem,灵魂宝石,type,community,approved,不朽英雄。
Temple,神殿,type,community,approved,上古山谷 / 元素的馈赠。
Treasure,宝藏,type,community,approved,灵魂风暴起。
# 资源,,,,,
Death,死亡,resource,community,approved,上古山谷指示物。
Energy,能量,resource,community,approved,祈夜崛起起的资源。关键字 Energize 译「充能」。
Honor,荣誉,resource,official-anshashen,approved,维基。
