set,go_name,en,norm,from_card
shell,TMP Text,Rulebook,Rulebook,
ascl,TMP Body Text,"In this time of reckoning, Vigil calls forth a new generation of heroes. The untested must rise, guided by legends of old and the light of those who sacrificed before them. Against the Muses’ vision of unending chaos, the champions of today must forge their own legendary paths. The world awaits, and only through strength, courage, and unity can Vigil transcend this dark design. Your deeds are known, your valor witnessed, and through fire and flame, you must stand the test to become a legend—the future rests upon your ascension.","In this time of reckoning, Vigil calls forth a new generation of heroes. The untested must rise, guided by legends of old and the light of those who sacrificed before them. Against the Muses’ vision of unending chaos, the champions of today must forge their own legendary paths. The world awaits, and only through strength, courage, and unity can Vigil transcend this dark design. Your deeds are known, your valor witnessed, and through fire and flame, you must stand the test to become a legend—the future rests upon your ascension.",
ascl,TMP Body Text,"As there is an element of divine inspiration in every act of creation, so too are there patrons for the arts of slaughter and destruction. For centuries, the Red Sisters have whispered their poisonous inspirations to the champions of destruction—Samael, Kythis, Xeron—fueling strife in the hearts of mortals and gods alike. They have watched as Vigil waged war after war, each act of defiance feeding their art of carnage. Now the Muses seek a final creation, one to remake Vigil from its very bones, a monument to the darkness they have nurtured across the ages.","As there is an element of divine inspiration in every act of creation, so too are there patrons for the arts of slaughter and destruction. For centuries, the Red Sisters have whispered their poisonous inspirations to the champions of destruction—Samael, Kythis, Xeron—fueling strife in the hearts of mortals and gods alike. They have watched as Vigil waged war after war, each act of defiance feeding their art of carnage. Now the Muses seek a final creation, one to remake Vigil from its very bones, a monument to the darkness they have nurtured across the ages.",
ascl,TMP Body Text,"Eons have passed since Vigil’s heroes first defended their world against Samael, the Fallen God. Though the Godslayer’s victory brought peace, each hard-won era has been followed by threats even more harrowing. Vigil has birthed heroes to stand against every nightmare, but with each victory, darkness has gathered anew. Now, in the sulfurous depths of Deoful, something ancient stirs—the Red Sisters—the Muses of Malevolence. These shadowy patrons of slaughter and ruin stand poised to weave their own dreadful masterpiece.","Eons have passed since Vigil’s heroes first defended their world against Samael, the Fallen God. Though the Godslayer’s victory brought peace, each hard-won era has been followed by threats even more harrowing. Vigil has birthed heroes to stand against every nightmare, but with each victory, darkness has gathered anew. Now, in the sulfurous depths of Deoful, something ancient stirs—the Red Sisters—the Muses of Malevolence. These shadowy patrons of slaughter and ruin stand poised to weave their own dreadful masterpiece.",
ascl,TMP Introduction Text,Introduction,Introduction,
ascl,TMP Body RenownThresholdEffects Text (1),"<margin-right=12em>When you play a card with a Renown Threshold Effect, you gain its bonus as long as your position on the Legendary Track meets or exceeds the space shown on the card.","<margin-right=12em>When you play a card with a Renown Threshold Effect, you gain its bonus as long as your position on the Legendary Track meets or exceeds the space shown on the card.",
ascl,TMP Body RenownThresholdEffects Text,"<margin-right=12em>Many cards in <i>Ascension: Legends™</i> have a Renown Threshold Effect—an extra ability that activates when you play the card, provided you’ve reached the required space on the Legendary Track for that faction.","<margin-right=12em>Many cards in <i>Ascension: Legends™</i> have a Renown Threshold Effect—an extra ability that activates when you play the card, provided you’ve reached the required space on the Legendary Track for that faction.",
ascl,TMP Rules Text,Draw two cards instead.,Draw two cards instead.,
ascl,TMP Rules Text,Draw a card.,Draw a card.,1
ascl,TMP Class Text,Enlightened Hero,Enlightened Hero,
ascl,TMP Title,<size=104>A</size>skara of Judgement,<size=104>A</size>skara of Judgement,1
ascl,TMP Text,Renown Threshold Effects,Renown Threshold Effects,
ascl,TMP Body LegendaryStatus Text,"When you reach the 12th space on any faction’s path of the Legendary Track, you become a legend within that faction. From that turn onward, you may acquire or defeat 1 card from the Center Row belonging to that faction for free each turn. As with Boons, you can activate this ability at any time during your turn.","When you reach the 12th space on any faction’s path of the Legendary Track, you become a legend within that faction. From that turn onward, you may acquire or defeat 1 card from the Center Row belonging to that faction for free each turn. As with Boons, you can activate this ability at any time during your turn.",
ascl,TMP Text,Legendary Status,Legendary Status,
ascl,TMP Body Text,"Each Boon’s effect is written on its Legendary Character card and is unique to that Legend. When you earn a Boon, you may use it at any point during your turn before it ends. This allows you to keep acquiring Heroes and Constructs, advancing on the Legendary Track, or defeating Monsters before activating the Boon for maximum impact. However, unused Boons expire at the end of the turn.","Each Boon’s effect is written on its Legendary Character card and is unique to that Legend. When you earn a Boon, you may use it at any point during your turn before it ends. This allows you to keep acquiring Heroes and Constructs, advancing on the Legendary Track, or defeating Monsters before activating the Boon for maximum impact. However, unused Boons expire at the end of the turn.",
ascl,TMP Body Text,"At the start of the game, each Legendary Character provides a powerful Boon for players who reach specific milestones on the Legendary Track. Milestones are located on the 3rd, 6th, and 9th spaces of each column on the Legendary Track. As you advance, each time one of your Renown Markers reaches a milestone, you immediately trigger the Boon from the Legendary Character tied to that faction.","At the start of the game, each Legendary Character provides a powerful Boon for players who reach specific milestones on the Legendary Track. Milestones are located on the 3rd, 6th, and 9th spaces of each column on the Legendary Track. As you advance, each time one of your Renown Markers reaches a milestone, you immediately trigger the Boon from the Legendary Character tied to that faction.",
ascl,TMP Text,Boons,Boons,
ascl,TMP Body Text,"<margin-right=12em>Note: You only gain Renown from defeating Monsters if they belong to a faction, unless the card specifically says otherwise.","<margin-right=12em>Note: You only gain Renown from defeating Monsters if they belong to a faction, unless the card specifically says otherwise.",
ascl,TMP Body Text,"<margin-right=12em>Some Boons and card effects also grant Renown. When an effect says to gain Renown, you gain 1 Renown (<sprite=173>) with a single faction of your choice.","<margin-right=12em>Some Boons and card effects also grant Renown. When an effect says to gain Renown, you gain 1 Renown (<sprite=173>) with a single faction of your choice.",
ascl,TMP Body Text,"<margin-right=12em>In Ascension: Legends™, acquiring or defeating cards in the Center Row earns you Renown (<sprite=172>) with each faction shown on that card. Renown represents your rising status as a legend. Each point you gain moves you one space up the Legendary Track for the corresponding faction(s).","<margin-right=12em>In Ascension: Legends™, acquiring or defeating cards in the Center Row earns you Renown (<sprite=172>) with each faction shown on that card. Renown represents your rising status as a legend. Each point you gain moves you one space up the Legendary Track for the corresponding faction(s).",
ascl,TMP Rules Text,"Draw a card.<br>Gain <sprite=173>, then banish this.","Draw a card.<br>Gain <sprite=173>, then banish this.",
ascl,TMP Title,<size=104>A</size>rha Recruit,<size=104>A</size>rha Recruit,1
ascl,TMP Text,Gaining Renown,Gaining Renown,
ascl,TMP Body Text,"<margin-right=13.5em>At the heart of Ascension: Legends™ is the Legendary Track, where you’ll compete to earn Renown (<sprite=172>) alongside some of the most iconic characters in the Ascension™ universe.<br><br>As you play, you’ll advance along this track, unlocking special abilities, known as Boons, granted by the Legends overseeing your game.<br><Br>Reach the end of the track, and you’ll secure your place as a legend within one of the four factions, gaining the ability to acquire or defeat a card of that faction for free at the start of each turn.","<margin-right=13.5em>At the heart of Ascension: Legends™ is the Legendary Track, where you’ll compete to earn Renown (<sprite=172>) alongside some of the most iconic characters in the Ascension™ universe.<br><br>As you play, you’ll advance along this track, unlocking special abilities, known as Boons, granted by the Legends overseeing your game.<br><Br>Reach the end of the track, and you’ll secure your place as a legend within one of the four factions, gaining the ability to acquire or defeat a card of that faction for free at the start of each turn.",
ascl,TMP Text,Legendary Track,Legendary Track,
ascl,TMP Body Text,"Each Legendary Character comes from one of the four factions in Ascension™ and is loyal to that faction. To win their favor, you’ll need to show your allegiance by acquiring or defeating cards from their faction to earn Renown (<sprite=172>). Earn enough Renown with a faction, and you’ll unlock the Boon granted by that faction’s Legendary Character.","Each Legendary Character comes from one of the four factions in Ascension™ and is loyal to that faction. To win their favor, you’ll need to show your allegiance by acquiring or defeating cards from their faction to earn Renown (<sprite=172>). Earn enough Renown with a faction, and you’ll unlock the Boon granted by that faction’s Legendary Character.",
ascl,TMP Flavor Text,To live in balance with the world around us is<br>to find our place in the greater tapestry of<br>life.,To live in balance with the world around us is<br>to find our place in the greater tapestry of<br>life.,1
ascl,TMP Rules Text,"Once this turn, gain <sprite=66>","Once this turn, gain <sprite=66>",
ascl,TMP Class Text,Lifebound Hero,Lifebound Hero,
ascl,TMP Title,Nairi,Nairi,1
ascl,TMP Body Text,"The threat posed by the Muses of Malevolence is one of the greatest Vigil has ever faced, but in its time of need, the champions of Vigil’s past have answered the call to battle. Former Heroes turned Legends, the Legendary Characters selected at the start of each game wait only for a worthy Hero to appear before lending their power to the struggle against the Red Sisters.","The threat posed by the Muses of Malevolence is one of the greatest Vigil has ever faced, but in its time of need, the champions of Vigil’s past have answered the call to battle. Former Heroes turned Legends, the Legendary Characters selected at the start of each game wait only for a worthy Hero to appear before lending their power to the struggle against the Red Sisters.",
ascl,TMP Text,Legendary Cards,Legendary Cards,
ascl,TMP Body Text,"Insight (<sprite=112>) is gained through various card effects and Dreamborn cards (see below). Unlike other resources, you do not lose unspent Insight at the end of your turn.

In <i>Ascension Delirium</i>, players start with different amounts of <sprite=112>. The player who goes first starts with zero <sprite=112>. The player who goes second starts with <sprite=113>, third starts with <sprite=114> and fourth starts with <sprite=115>. 

","Insight (<sprite=112>) is gained through various card effects and Dreamborn cards (see below). Unlike other resources, you do not lose unspent Insight at the end of your turn.

In <i>Ascension Delirium</i>, players start with different amounts of <sprite=112>. The player who goes first starts with zero <sprite=112>. The player who goes second starts with <sprite=113>, third starts with <sprite=114> and fourth starts with <sprite=115>.",
ascl,TMP Text,Insight,Insight,
ascl,TMP Title Text,What's New,What's New,
cotg,TMP Text,Log,Log,
cotg,TMP Text,"<allcaps>Discard Pile:</allcaps>
Press to switch the view to view your opponent's discard pile.","<allcaps>Discard Pile:</allcaps>
Press to switch the view to view your opponent's discard pile.",
cotg,TMP Text,"<allcaps>Hand:</allcaps>
How many cards are in your opponent's hand.","<allcaps>Hand:</allcaps>
How many cards are in your opponent's hand.",
cotg,TMP Text,"<allcaps>Constructs:</allcaps>
Press to switch the view to your opponent's Constructs.","<allcaps>Constructs:</allcaps>
Press to switch the view to your opponent's Constructs.",
cotg,TMP Text,"<allcaps>Opponent Box:</allcaps>
Press to expand each oppoent's box to view their cards in detail.","<allcaps>Opponent Box:</allcaps>
Press to expand each oppoent's box to view their cards in detail.",
cotg,TMP Text,"<allcaps>Online Indicator:</allcaps>
Used to show an opponent's online status","<allcaps>Online Indicator:</allcaps>
Used to show an opponent's online status",
cotg,TMP Text,Deck,Deck,
cotg,TMP Text,honor points,honor points,
cotg,TMP Text,Avatar,Avatar,
cotg,TMP Text,Name,Name,
cotg,TMP Text,Opponent Area,Opponent Area,
cotg,TMP Text,"<allcaps>Discard Pile:</allcaps>
Press to view the cards you've recently played.","<allcaps>Discard Pile:</allcaps>
Press to view the cards you've recently played.",
cotg,TMP Text,"<allcaps>End Turn:</allcaps>
Press this to end your turn and pass to the next player.","<allcaps>End Turn:</allcaps>
Press this to end your turn and pass to the next player.",
cotg,TMP Text,"<allcaps>Play All:</allcaps>
places all of the cards from your hand into the Action Area.","<allcaps>Play All:</allcaps>
places all of the cards from your hand into the Action Area.",
cotg,TMP Text,"<allcaps>Menu:</allcaps>
Opens a menu with a list of game options.","<allcaps>Menu:</allcaps>
Opens a menu with a list of game options.",
cotg,TMP Text,"<allcaps>Player's Hand:</allcaps>
Your current cards that can be played this turn by dragging them to the Action Area.","<allcaps>Player's Hand:</allcaps>
Your current cards that can be played this turn by dragging them to the Action Area.",
cotg,TMP Text,"<allcaps>Construct Tray:</allcaps>
Press to open your Construct Tray to view and play your Constructs.","<allcaps>Construct Tray:</allcaps>
Press to open your Construct Tray to view and play your Constructs.",
cotg,TMP Text,Draw Deck,Draw Deck,
cotg,TMP Text,Honor Points,Honor Points,
cotg,TMP Text,Info Line,Info Line,
cotg,TMP Text,Player Area,Player Area,
cotg,TMP Text,"<allcaps>Void:</allcaps>
Defeated monsters are sent here.","<allcaps>Void:</allcaps>
Defeated monsters are sent here.",
cotg,TMP Text,"<allcaps>Player's Power:</allcaps>
Player's Power for their turn.","<allcaps>Player's Power:</allcaps>
Player's Power for their turn.",
cotg,TMP Text,"<allcaps>Player's Runes:</allcaps>
Player's Rune count for their turn.","<allcaps>Player's Runes:</allcaps>
Player's Rune count for their turn.",
cotg,TMP Text,"<allcaps>Center Row Draw Pile:</allcaps>
The Center Row cards are drawn from here.","<allcaps>Center Row Draw Pile:</allcaps>
The Center Row cards are drawn from here.",
cotg,TMP Text,"<allcaps>Center Row:</allcaps>
This Center Row contains the cards you can acquire or defeat.","<allcaps>Center Row:</allcaps>
This Center Row contains the cards you can acquire or defeat.",
cotg,TMP Text,"<allcaps>Global Honor Pool:</allcaps>
Honor Points for the game are drawn from this pool.","<allcaps>Global Honor Pool:</allcaps>
Honor Points for the game are drawn from this pool.",
cotg,TMP Text,Cultist,Cultist,
cotg,TMP Text,Power Card Deck,Power Card Deck,
cotg,TMP Text,Rune Card Deck,Rune Card Deck,
cotg,TMP Text,"Top Area
",Top Area,
cotg,TMP Text,"RARITY & SET ICON
Each <sprite=146> represents a copy of the card in the center deck.","RARITY & SET ICON
Each <sprite=146> represents a copy of the card in the center deck.",
cotg,TMP Text,"COST
The amount of Power you must spend to acquire this card.","COST
The amount of Power you must spend to acquire this card.",
cotg,TMP Text,"REWARD
What this monster does when defeated.","REWARD
What this monster does when defeated.",
cotg,TMP Text,NAME,NAME,
cotg,TMP Rules Text,"
<b>Reward:</b> Gain <sprite=65>.  Draw two cards.",<b>Reward:</b> Gain <sprite=65>.  Draw two cards.,
cotg,TMP Class Text,Monster,Monster,
cotg,TMP Title,<size=104>E</size>arth Tyrant,<size=104>E</size>arth Tyrant,1
cotg,TMP Text,Monsters,Monsters,
cotg,TMP Text,"FLAVOR TEXT
Flavor text has no game effect.","FLAVOR TEXT
Flavor text has no game effect.",
cotg,TMP Text,"EFFECT
What the card does when played or in play.","EFFECT
What the card does when played or in play.",
cotg,TMP Text,"COST
The number of Runes you must spend to acquire this card.","COST
The number of Runes you must spend to acquire this card.",
cotg,TMP Text,"HONOR
How much Honor this card is worth.","HONOR
How much Honor this card is worth.",
cotg,TMP Text,"FACTION
There are 4 different factions:
<color=#4cbbeb>Enlightened
<color=#7fc241>Lifebound
<color=#b6b6b6>Mechana
<color=#bb8bbe>Void
","FACTION
There are 4 different factions:
<color=#4cbbeb>Enlightened
<color=#7fc241>Lifebound
<color=#b6b6b6>Mechana
<color=#bb8bbe>Void",
cotg,TMP Flavor Text,This is the flavor part.,This is the flavor part.,
cotg,TMP Rules Text,"Once per turn, when you acquire another Mechana Construct, you may put it directly in play.","Once per turn, when you acquire another Mechana Construct, you may put it directly in play.",
cotg,TMP Class Text,Mechana Construct,Mechana Construct,
cotg,TMP Title,<size=104>R</size>ocket Courier X-99,<size=104>R</size>ocket Courier X-99,1
cotg,TMP Text,Constructs,Constructs,
cotg,TMP Flavor Text,Sharpen the mind and the sword will follow.,Sharpen the mind and the sword will follow.,
cotg,TMP Rules Text,"
Defeat a Monster that has <sprite=4>or less.",Defeat a Monster that has <sprite=4>or less.,
cotg,TMP Class Text,Enlightened Hero,Enlightened Hero,
cotg,TMP Title,<size=104>A</size>rha Templar,<size=104>A</size>rha Templar,
cotg,TMP Text,Heroes,Heroes,
