prefab,path,component
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/Insight/TMP Text,TMP Text
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body Text,TMP Body Text
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/LegendaryCards/TMP Text,TMP Text
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body Text,TMP Body Text
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/Cards/CardBack/LLH_Nairi/Title/TMP Title,TMP Title
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/Cards/CardFront/LLH_Nairi/Card_Top/Title/TMP Title,TMP Title
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/Cards/CardFront/LLH_Nairi/Card_Bottom/TMP Class Text,TMP Class Text
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/Cards/CardFront/LLH_Nairi/Card_Bottom/RulesFlavor,RulesFlavor
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/Cards/CardFront/LLH_Nairi/Card_Bottom/RulesFlavor/TMP Rules Text,TMP Rules Text
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/Cards/CardFront/LLH_Nairi/Card_Bottom/RulesFlavor/TMP Flavor Text,TMP Flavor Text
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body Text,TMP Body Text
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/LegendaryTrack/TMP Text,TMP Text
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body Text,TMP Body Text
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/TMP Body Text/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
RulebookASCL,RulebookASCL/Scroll View/Viewport/Content/Spacer/TMP SubMeshUI [TextMeshPro/Sprite],TMP SubMeshUI [TextMeshPro/Sprite]
