key,en
Key_PlayOffline,Play Offline
Key_PlayOnline,Play Online
Key_MainMenu,Main Menu
Key_Menu,Menu
Key_Options,Options
Key_Settings,Settings
Key_CardGallery,Card Gallery
Key_Rulebook,Rulebook
Key_Tutorial,Tutorial
Key_Tutorials,Tutorials
Key_Moregames,More Games
Key_Credits,Credits
Key_AppStore,In-App Store
Key_Back,Back
Key_DeleteGame,Delete Game
Key_CreateGame,Create Game
Key_Round,Round
Key_AddComputerPlayer,Add Computer Player
Key_AddHumanPlayer,Add Human Player
Key_Playername,Player Name
Key_DragToAdd,Drag below to add
Key_EnterName,Please enter a name
Key_RestorePurchases,Restore Purchases
Key_ClearPurchases,Clear Purchases
Key_Details,Details
Key_Purchased,Purchased
Key_Buy,Buy
Key_Cancel,Cancel
Key_StartGame,Start Game
Key_JoinGame,Join Game
Key_ViewGame,View Game
Key_Player1,Player 1
Key_Player2,Player 2
Key_Player3,Player 3
Key_Player4,Player 4
Key_Player5,Player 5
Key_Accept,Accept
Key_Profile,Profile
Key_Pause,Pause
Key_Online,Online
Key_Offline,Offline
Key_FindGame,Find Game
Key_TitleNew,New
Key_TitleGame,Game
Key_Connecting,Connecting to Server
Key_ConnectFail,Failed to Connect to Server
Key_NetworkUpdate,An update is available.<br>Please download the latest<br>version to play online.
Key_Disconnect,You have been Disconnected<br> from the Server
Key_CreatingGame,Creating Game . . .
Key_CreatedGameSuccess,Successfully Created Game!
Key_CreateGameFail,Unable to create.
Key_CreateGameFailTooMany,Unable to create.<br>Too many games created.
Key_CreateGameFailUnknown,Unable to create.<br>Unknown error
Key_Joining,Joining Game . . .
Key_JoinSuccess,Successfully Joined Game!
Key_JoinFailNotExist,Unable to join.<br>Game no longer exists.
Key_JoinFailFull,Unable to join.<br>Game is full.
Key_JoinFailConnect,Unable to join.<br>Lost connection to server.
Key_JoinFailUnknown,Unable to join.<br>Unknown error.
Key_OnlineFailGameCenter,You must be logged<br>in to Game Center<br>to play online
Key_TutorialPrompt,Would you like to play the Tutorial?
Key_SlotOpen,(Open)
Key_SlotClosed,(Closed)
Key_OnlineCreateGame,Online Create Game
Key_GameListEmpty,You have no active Games at this time.
Key_FindGameSearching,Searching for Games . . .
Key_CompletedListEmpty,You have no completed Games at this time.
Key_FindGameListEmpty,There are no available Games at this time.<br>Use the Create Game Menu to create a new game.
Key_ProfileLoading,Retrieving Profile . . .
Key_NameEntry,Enter Name for Player
Key_FriendsList,Friends List
Key_InviteFriend,Invite Friend
Key_ClearInvite,Clear Invite
Key_ReadyToStart,Ready to Start
Key_Invited,Invited
Key_WaitForStart,Waiting for Start
Key_WaitForPlayers,Waiting for Players
Key_WaitForPlayer,Waiting for Player
Key_Waiting,Waiting
Key_View,View
Key_Withdraw,Withdraw
Key_Reject,Reject
Key_Delete,Delete
Key_Forfeit,Forfeit
Key_Finish,Finish
Key_Locked,Locked
Key_Invite,Invite
Key_Start,Start
Key_Completed,Completed
Key_Join,Join
Key_Empty,Empty
Key_Minute,Minute
Key_Minutes,Minutes
Key_Hour,Hour
Key_Hours,Hours
Key_Day,Day
Key_Days,Days
Key_Second,Second
Key_Seconds,Seconds
Key_Abbr_Second,Sec
Key_Abbr_Minute,Min
Key_Abbr_Hour,HR
Key_Abbr_Hours,Hrs
Key_Online_Record,Online Record
Key_Offline_Record,Offline Record
Key_In_Progress,In Progress
Key_2_Players,2 Players:
Key_3_Players,3 Players:
Key_4_Players,4 Players:
Key_Forfeits,Forfeits
Key_Sound_Volume,Sound Volume
Key_Music_Volume,Music Volume
Key_Game_Speed,Game Speed
Key_Animation_Speed,Animation Speed
Key_Slow,Slow
Key_Medium,Medium
Key_Fast,Fast
Key_Pop_Ups,Confirmation Pop-ups
Key_FriendRequest,Friend Request
Key_Online_Game_List,Online Game List
Key_AddFriend,Add Friend
Key_DeleteFriend,Delete Friend
Key_Offline_Game_List,Offline Game List
