id,domain,set,en_hash,en,zh,status,waived_reason,source_file
waiver:bitmap_title,bitmap_title,,4a291b9de82f,"(bitmap UI titles: Offline Games, Downloadable Content, set icons, …)",,waived,bitmap_title,docs/architecture.zh.md
cards_effect::Apprentice,cards_effect,,e22cccd20b15,Apprentice,获得1符文。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect::Apprentice 10TH,cards_effect,,2dbadf7a4607,Apprentice 10TH,获得1符文。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect::Apprentice SoS,cards_effect,,9e63fa243e94,Apprentice SoS,获得1符文。,reviewed,,loc/zh-Hans/lua_cards.csv
"cards_effect::Cetra, Benefactor of All",cards_effect,,a82c4a076d40,"Cetra, Benefactor of All","从你开始, 和然后going在回合秩序, 每位玩家获取英雄无需支付费用. 英雄已获取以此方式为 放置在 顶部的 其拥有者' decks.",draft,,loc/zh-Hans/lua_cards.csv
cards_effect::Cultist,cards_effect,,5d605e830d97,Cultist,奖励：获得1荣誉。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect::Cultist 10TH,cards_effect,,5073e7fd8b92,Cultist 10TH,奖励：获得1荣誉。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect::Cultist SoS,cards_effect,,c138d32c89a5,Cultist SoS,奖励：获得1荣誉。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect::Eye of Potential,cards_effect,,b328f075b1f8,Eye of Potential,每回合一次，你可以放逐一张卡牌在你的手牌中. 若你如此做，获取秘教士或 重装步兵无需支付费用和 将它放置在你的手牌中.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect::Ferromancer's Helper,cards_effect,,fd29bfc10bcc,Ferromancer's Helper,获得2符文. 你可以放置神器你控制的置入你的弃牌堆. 若你如此做，获得2战力.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect::Foul Replicant,cards_effect,,7d128d6dd413,Foul Replicant,奖励： 获得4荣誉.\r\nONGOING战利品： 每回合一次，选择神器你控制的. 此获得text的所选神器以 本回合.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect::Heavy Infantry,cards_effect,,6fcea5d36f8c,Heavy Infantry,获得2战力。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect::Heavy Infantry 10TH,cards_effect,,2827a47c2f5d,Heavy Infantry 10TH,获得2战力。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect::Heavy Infantry SoS,cards_effect,,e3c80ceff7bb,Heavy Infantry SoS,获得2战力。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect::Militia,cards_effect,,deb0b922dafe,Militia,获得1战力。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect::Militia 10TH,cards_effect,,d7cc41b640a0,Militia 10TH,获得1战力。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect::Militia SoS,cards_effect,,a14bc4d8901c,Militia SoS,获得1战力。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect::Mystic,cards_effect,,302f444c54aa,Mystic,获得2符文。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect::Mystic 10TH,cards_effect,,f2f60f62161c,Mystic 10TH,获得2符文。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect::Mystic SoS,cards_effect,,eaaab5b4217e,Mystic SoS,获得2符文。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect::Nyxian Corruptor,cards_effect,,f976d884ea21,Nyxian Corruptor,获得3战力.\r\n你可以花费R视为P本回合.,draft,,loc/zh-Hans/lua_cards.csv
cards_effect::Sadistic Laboratory,cards_effect,,41377e31601f,Sadistic Laboratory,"每回合一次，获得1战力.\r\n当你 击败一个怪物在 中央牌列, 放逐任意怪物其下此 和放置被击败怪物其下此. 你可以击败怪物其下此 视为在中央牌列. 若此 离开打出, 放逐任意monsters其下此.",draft,,loc/zh-Hans/lua_cards.csv
cards_effect::Sage of Lucid Dreams,cards_effect,,dfc3ca0ef03b,Sage of Lucid Dreams,"一次本回合, 放逐一张卡牌在你的手牌中. 若你如此做，获取一个英雄以H值至多一 超过该 的被放逐卡牌和 将它放置在你的手牌中.\r\n多重联合： 你可以重复此.",draft,,loc/zh-Hans/lua_cards.csv
cards_effect::Stone Circle,cards_effect,,61aa3549225d,Stone Circle,"每回合一次，你可以展示你牌库顶的卡牌. 若它是命约英雄, 抽它.\r\n每回合一次，你可以花费 2符文以 获得1荣誉.",draft,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG10:Arbiter of the Precipice 10TH,cards_effect,CotG10,cb85ca364801,Arbiter of the Precipice 10TH,抽两张牌。然后放逐你手牌中的一张卡牌。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG10:Arha Initiate 10TH,cards_effect,CotG10,6f9edfec80c6,Arha Initiate 10TH,抽一张牌。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG10:Arha Templar 10TH,cards_effect,CotG10,05dea17fb19f,Arha Templar 10TH,击败一个战力值不高于4的怪物。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG10:Ascetic of the Lidless Eye 10TH,cards_effect,CotG10,0405b533b6da,Ascetic of the Lidless Eye 10TH,抽两张牌。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG10:Avatar Golem 10TH,cards_effect,CotG10,f931d3eac1d0,Avatar Golem 10TH,获得2战力。你每控制一种神器，获得1荣誉。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG10:Avatar of the Fallen 10TH,cards_effect,CotG10,c29b1cb3f682,Avatar of the Fallen 10TH,除非被击败，否则此怪物不可被放逐。奖励：获得4荣誉。你可以无需支付费用获取或击败中央牌列中的任意一张卡牌。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG10:Burrower Mark II 10TH,cards_effect,CotG10,d2a5381510b8,Burrower Mark II 10TH,每回合你首次将机械神器进入战场时（包括此牌），抽一张牌。,reviewed,,loc/zh-Hans/lua_cards.csv
"cards_effect:CotG10:Cetra, Weaver of Stars 10TH",cards_effect,CotG10,0bc75dacbd63,"Cetra, Weaver of Stars 10TH",获取任意一个英雄。将其放到你的牌库顶。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG10:Corrosive Widow 10TH,cards_effect,CotG10,228f840341e8,Corrosive Widow 10TH,奖励：获得3荣誉。每位对手须将其控制的一张神器置入弃牌堆。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG10:Demon Slayer 10TH,cards_effect,CotG10,8e4d6080afb4,Demon Slayer 10TH,获得3战力。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG10:Druids of the Stone Circle 10TH,cards_effect,CotG10,a4624fa3ba9e,Druids of the Stone Circle 10TH,无需支付费用获取一个费用不高于3符文的英雄。将其放到你的牌库顶。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG10:Earth Tyrant 10TH,cards_effect,CotG10,ca2e9a92517b,Earth Tyrant 10TH,奖励：获得5荣誉。抽两张牌。,reviewed,,loc/zh-Hans/lua_cards.csv
"cards_effect:CotG10:Emri, One with the Void 10TH",cards_effect,CotG10,1bb1dfb1a613,"Emri, One with the Void 10TH",获得4战力。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG10:Flytrap Witch 10TH,cards_effect,CotG10,652937a0655d,Flytrap Witch 10TH,获得2荣誉。抽一张牌。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG10:Hedron Cannon 10TH,cards_effect,CotG10,b85b6f6f87a0,Hedron Cannon 10TH,每回合一次，你每控制一个机械神器，获得1战力。,reviewed,,loc/zh-Hans/lua_cards.csv
cards_effect:CotG10:Hedron Link Device 10TH,cards_effect,CotG10,9d46613b19f3,Hedron Link Device 10TH,你可以将所有神器视为机械神器。,reviewed,,loc/zh-Hans/lua_cards.csv
