id,area,match,key,context,en,zh,status,notes,card_id,card_set,field
car_04fa9d0ac669,cards_lua,lua,,"card=Vedah, Sage of Swords;field=display_name;set=promo","Vedah, Sage of Swords",剑贤维达,draft,,"Vedah, Sage of Swords",promo,display_name
car_47a11fd0a9b4,cards_lua,lua,,"card=Vedah, Sage of Swords;field=effect_text;set=promo",Reveal the top card of the center deck.  Draw it or defeat it.,展示传送门牌库顶的卡牌. 抽起它或击败它.,draft,,"Vedah, Sage of Swords",promo,effect_text
car_a1290c5d69e0,cards_lua,lua,,card=Giant Rat;field=display_name;set=promo,Giant Rat,巨鼠,draft,,Giant Rat,promo,display_name
car_158471bf4ada,cards_lua,lua,,card=Giant Rat;field=effect_text;set=promo,"Any card underneath Giant Rat cannot be acquired, banished, or defeated until Giant Rat is banished or defeated.
Reward: Gain 1H.","置于巨鼠下方的任何卡牌，在巨鼠被放逐或击败之前，不能被获取、放逐或击败。
奖励：获得 1 荣誉。",draft,pass4,Giant Rat,promo,effect_text
car_dec885e00961,cards_lua,lua,,card=Rat King;field=display_name;set=promo,Rat King,鼠王,draft,,Rat King,promo,display_name
car_13726193bdbe,cards_lua,lua,,card=Rat King;field=effect_text;set=promo,"When Rat King enters the center row, place a Giant Rat on top of each other center row space.
Reward: Gain 4H and defeat all Giant Rats in play.","当鼠王进入中央牌列时，在其他每个中央牌列栏位上各放置一张巨鼠。
奖励：获得 4 荣誉，并击败所有在场的巨鼠。",draft,qa_pass2,Rat King,promo,effect_text
car_1f046f5e29b8,cards_lua,lua,,card=Pathwarden;field=display_name;set=promo,Pathwarden,巡路者,draft,,Pathwarden,promo,display_name
car_80693e5ac4cf,cards_lua,lua,,card=Pathwarden;field=effect_text;set=promo,Gain 2R.  You may spend R as though it was P this turn.,获得2符文. 你可以花费R视为P本回合.,draft,,Pathwarden,promo,effect_text
car_a87fd19d934f,cards_lua,lua,,card=Deep Drone;field=display_name;set=promo,Deep Drone,深潜无人机,draft,,Deep Drone,promo,display_name
car_6afac19d0556,cards_lua,lua,,card=Deep Drone;field=effect_text;set=promo,Gain 2R.  Put the next construct you acquire this turn directly into play.,获得2符文. 放置下一神器你 获取本回合直接进入战场.,draft,,Deep Drone,promo,effect_text
car_a55d1cee627f,cards_lua,lua,,card=Void Mesmer;field=display_name;set=promo,Void Mesmer,虚空催眠师,draft,,Void Mesmer,promo,display_name
car_30ca361bf949,cards_lua,lua,,card=Void Mesmer;field=effect_text;set=promo,"Gain 2P.  The next time you defeat a Monster this turn, you may acquire a Hero of equal or lesser cost.","获得 2 战力。
本回合下次你击败怪物时，你可以获取一张费用相等或更低的英雄。",draft,pass13,Void Mesmer,promo,effect_text
car_f019be3fca47,cards_lua,lua,,"card=Kythis, the Gatekeeper;field=display_name;set=promo","Kythis, the Gatekeeper",守门人凯西斯,draft,,"Kythis, the Gatekeeper",promo,display_name
car_41156e205627,cards_lua,lua,,"card=Kythis, the Gatekeeper;field=effect_text;set=promo","When Kythis enters the center row, take the top card of the center deck and place it face down underneath him.
","当凯西斯进入中央牌列, 拿取传送门牌库顶的卡牌和 放置它 面朝下置于其下他.",draft,,"Kythis, the Gatekeeper",promo,effect_text
car_0de92af4c8b1,cards_lua,lua,,card=Journeyman Sage;field=display_name;set=promo,Journeyman Sage,旅者贤者,draft,,Journeyman Sage,promo,display_name
car_a44114f744e7,cards_lua,lua,,card=Journeyman Sage;field=effect_text;set=promo,"FATE: When this enters the center row, each player may banish a Hero in their hand to acquire a Mystic or Heavy Infantry and add it to their hand.
","天命： 当此牌进入中央牌列时, 每位玩家可以放逐英雄在其手牌中以 获取秘教士或 重装步兵和 加入其手牌.",draft,,Journeyman Sage,promo,effect_text
car_e9051951dc7f,cards_lua,lua,,card=Nethersnare;field=display_name;set=promo,Nethersnare,冥界陷阱,draft,,Nethersnare,promo,display_name
car_ab9b4e67486d,cards_lua,lua,,card=Nethersnare;field=effect_text;set=promo,"Once per turn, if there is no Monster under this, you may put a Monster from the center row under it.
You may defeat Monsters under this as though they were in the center row.
If this leaves play, put any monster under this on top of the center deck.","每回合一次，若此牌下没有怪物，你可以将中央牌列的一个怪物置于其下。
你可以击败怪物此牌下方 视为在中央牌列.
若此 离开打出, 放置任意怪物此牌下方 在顶部的 传送门牌库.",draft,pass6,Nethersnare,promo,effect_text
car_2cc7cccda50e,cards_lua,lua,,card=Askara of Fortune;field=display_name;set=promo,Askara of Fortune,幸运阿斯卡拉,draft,,Askara of Fortune,promo,display_name
car_9bec0911cfe7,cards_lua,lua,,card=Askara of Fortune;field=effect_text;set=promo,Each player reveals the top card of their deck. Choose a Hero revealed this way and copy its effect.,每位玩家展示顶部卡牌的 其牌库. 选择一个英雄已展示以此方式和 复制其效果.,draft,,Askara of Fortune,promo,effect_text
car_e4774e275b26,cards_lua,lua,,card=Hedron Flare;field=display_name;set=promo,Hedron Flare,多面体闪耀,draft,,Hedron Flare,promo,display_name
