id,area,match,key,context,en,zh,status,notes,scope,source
glo_41c4faacdcb9,glossary,glossary,,scope=series,Ascension,创升纪元,draft,游戏内系列名。方盒子365/维基作「暗杀神」，游戏内不使用。,series,official-chuangsheng
glo_00cc9433994d,glossary,glossary,,scope=series,Deckbuilding Game,牌组构筑游戏,draft,,series,community
glo_821bec8a1f11,glossary,glossary,,scope=world,Vigil,祈夜,draft,维基/360百科。世界与王都同名。,world,official-anshashen
glo_b1c252797967,glossary,glossary,,scope=world,Godslayer,弑神者,draft,荣誉最高者获得的称号。,world,official-anshashen
glo_7d4b12969c40,glossary,glossary,,scope=world,Samael,萨麦尔,draft,,world,official-anshashen
glo_6e4028f0b6f9,glossary,glossary,,scope=world,Samael the Fallen,堕落之神萨麦尔,draft,维基亦作「萨麦尔 堕落之神」。,world,official-anshashen
glo_972f56a7b2f8,glossary,glossary,,scope=world,Arha,亚哈,draft,官方卡名「亚哈新兵」。360百科作「阿罗汉」，不用。,world,official-anshashen
glo_1dba06301af9,glossary,glossary,,scope=world,Ogo,奥戈,draft,360百科作「奥歌」；卡名与扩展沿用「奥戈」。,world,community
glo_270e691fc431,glossary,glossary,,scope=world,Hedron,多面体,draft,机械派故乡。360百科未译专名。,world,community
glo_667a3063d330,glossary,glossary,,scope=world,Logos,逻各斯,draft,,world,community
glo_7578eb8c9f54,glossary,glossary,,scope=world,Xeron,泽伦,draft,卡名用「泽伦」。《创升纪元：元素的馈赠》背景作「希戎」。,world,community
glo_4bd06a385582,glossary,glossary,,scope=world,Elements,元素,draft,《创升纪元：元素的馈赠》,world,official-chuangsheng
glo_9a001156d336,glossary,glossary,,scope=world,Deofol,迪奥弗,draft,萨麦尔位面。,world,community
glo_02a8f2ccc16b,glossary,glossary,,scope=world,Nyx,尼克斯,draft,黑暗释放。,world,new
glo_d3d92525b75d,glossary,glossary,,scope=world,Erabus,厄拉布斯,draft,萨麦尔与尼克斯之子。,world,new
glo_5facdc67f61d,glossary,glossary,,scope=world,Aklys,阿克里斯,draft,暗影之战。,world,new
