id,area,match,key,context,en,zh,status,notes
run_d8f132f62aef,runtime_gaps,exact,,untranslated.tsv,"
<b><smallcaps><size=120%>Delirium</size></smallcaps></b>

<smallcaps><color=#1C4E80C8>Ascension™ Game Engine Design</color></smallcaps>
Justin Gary

<smallcaps><color=#1C4E80C8>Ascension: Delirium™ Lead Design</color></smallcaps>
Gary Arant 

<smallcaps><color=#1C4E80C8>Design & Development Team</color></smallcaps>
Justin Gary, Gary Arant, Jason Zila,
Mataio Wilson and Benjamin Lundquist 

<smallcaps><color=#1C4E80C8>Project Management Lead</color></smallcaps>
Gary Arant

<smallcaps><color=#1C4E80C8>Creative Direction & Graphic Design</color></smallcaps>
Ryan O’Connor

<smallcaps><color=#1C4E80C8>Graphic Design</color></smallcaps>
Peter Wocken Design, Ryan O’Connor

<smallcaps><color=#1C4E80C8>Card Art</color></smallcaps>
Eric Sabee, Aaron Nakahara, 
Rod Mendez, Thiên Nguyên

<smallcaps><color=#1C4E80C8>Creative Lead</color></smallcaps>
George Rockwell III

<smallcaps><color=#1C4E80C8>Creative Team</color></smallcaps>
Gary Arant, Justin Gary, Mataio Wilson


",,skip,制作人员名单
run_81f0af8f35a9,runtime_gaps,exact,,untranslated.tsv,"<smallcaps><color=#1C4E80C8>Additional IP Development</color></smallcaps>
John Fiorillo
Justin Gary
Brian Kibler
Ryan O’Connor
Mike Rosenberg
Eric Sabee
Geordie Tait
Eric Tice
Greg Wilson

<smallcaps><color=#1C4E80C8>Flavor Text</color></smallcaps>
John Fiorillo
Brian Kibler
Geordie Tait
Eric Tice
Greg Wilson

<smallcaps><color=#1C4E80C8>Project Management Lead</color></smallcaps>
Rob Dougherty
Ian Estrin

<smallcaps><color=#1C4E80C8>Project Management Support</color></smallcaps>
Ian Estrin

<smallcaps><color=#1C4E80C8>Secretary of Keeping it Real</color></smallcaps>
John Fiorillo

<smallcaps><color=#1C4E80C8>Minister of Propaganda</color></smallcaps>
Brian Kibler

<smallcaps><color=#1C4E80C8>Editing</color></smallcaps>
Cate Gary

<smallcaps><color=#1C4E80C8>Rulebook</color></smallcaps>
Gary Arant
John Fiorillo
Justin Gary
Brian Kibler
Jeff Liu
Ryan O’Connor
Mike Rosenberg
Geordie Tait
Emily Zaehring


",,skip,制作人员名单
run_bd9f813ee111,runtime_gaps,exact,,untranslated.tsv,"Return to the world of Vigil as the Muses of Malevolence rise to bring ruin. Legendary Heroes from Ascension’s past have returned to guide you, granting their power to those who prove worthy.<br><br>Each card you acquire or defeat grants Renown with its factions, advancing you on the Legendary Track. As your Renown grows, unlock powerful Boons from Legendary Characters and, at the pinnacle of a faction’s track, gain Legendry status with the power to acquire or defeat one card from that faction for free each turn.<br><br><b><align=center>Includes 86 unique<br>new cards.",重返祈夜：恶意缪斯崛起，欲将一切引向毁灭。创升纪元往昔的传奇英雄再度现身，将力量授予证明自己配得上的人。<br><br>你获取或击败的每张牌都会为其派系带来声望，推动你在传奇轨道上前进。声望提升后，可解锁传奇角色的强大恩赐；抵达某派系轨道顶点时，获得传奇地位，每回合可免费获取或击败一张该派系卡牌。<br><br><align=center>包含 86 张独特新卡。,draft,workbench_fill2;pass14
run_97a2c217004a,runtime_gaps,exact,,untranslated.tsv,"Return to the world of Vigil as the Muses of Malevolence rise to bring ruin. Legendary Heroes from Ascension’s past have returned to guide you, granting their power to those who prove worthy.<br><br>Each card you acquire or defeat grants Renown with its factions, advancing you on the Legendary Track. As your Renown grows, unlock powerful Boons from Legendary Characters and, at the pinnacle of a faction’s track, gain Legendry status with the power to acquire or defeat one card from that faction for free each turn.<br><br><b><align=center>Includes 86 unique new cards.",重返祈夜：恶意缪斯崛起，欲将一切引向毁灭。创升纪元往昔的传奇英雄再度现身，将力量授予证明自己配得上的人。<br><br>你获取或击败的每张牌都会为其派系带来声望，推动你在传奇轨道上前进。声望提升后，可解锁传奇角色的强大恩赐；抵达某派系轨道顶点时，获得传奇地位，每回合可免费获取或击败一张该派系卡牌。<br><br><align=center>包含 86 张独特新卡。,draft,workbench_fill2;pass14
run_8153aa61e206,runtime_gaps,exact,,untranslated.tsv,"Return to the world of Vigil as the Muses of Malevolence rise to bring ruin. Legendary Heroes from Ascension’s past have returned to guide you, granting their power to those who prove worthy.<br><br>Each card you acquire or defeat grants Renown with its factions, advancing you on the Legendary Track. As your Renown grows, unlock powerful Boons from Legendary Characters and, at the pinnacle of a faction’s track, gain Legendry status with the power to acquire or defeat one card from that faction for free each turn.<br><br><align=center>Includes 86 unique new cards.",重返祈夜：恶意缪斯崛起，欲将一切引向毁灭。创升纪元往昔的传奇英雄再度现身，将力量授予证明自己配得上的人。<br><br>你获取或击败的每张牌都会为其派系带来声望，推动你在传奇轨道上前进。声望提升后，可解锁传奇角色的强大恩赐；抵达某派系轨道顶点时，获得传奇地位，每回合可免费获取或击败一张该派系卡牌。<br><br><align=center>包含 86 张独特新卡。,draft,运行时漏译；确认是游戏 UI 后再填;pass14
run_6a8283a3e092,runtime_gaps,exact,,untranslated.tsv,"
<smallcaps><size=120%><b>Ascension: Deck Building Game</size></b></smallcaps>

<smallcaps><color=#1C4E80C8>Lead Programmer</color></smallcaps>
Gary Weis

<smallcaps><color=#1C4E80C8>Programmer</color></smallcaps>
Matthew Schock

<smallcaps><color=#1C4E80C8>CCO/Art Director</color></smallcaps>
Jeff ""Stecki"" Garstecki

<smallcaps><color=#1C4E80C8>Music and Sound Design</color></smallcaps>
Alexander Goodman

<smallcaps><color=#1C4E80C8>QA Analysts</color></smallcaps>
Alexander Goodman
Kyle Scarcia
Chase Balfour


",,skip,制作人员名单
run_554eedd57568,runtime_gaps,exact,,untranslated.tsv,"Dark forces have taken over the Dreamscape. Team up with Pasythea, collect her legendary weapons, and return order to her world!<br><br>Use the Insight resources and Dreamborn cards to save the Dreamscape. Bind Monsters to your deck and use them in battle! Transform cards to incredible heroes and Constructs and acquire Pasythea! Pair Deliverance with Dreamscape and Delirium for an even more exciting game!<br><br><b><align=center>Includes 51 unique<br>new cards.",黑暗势力已占据梦境。与帕西提亚并肩作战，收集她的传奇武器，让她的世界恢复秩序！<br><br>运用洞察与梦生卡拯救梦境；将怪物束缚进你的牌库并投入战斗！把卡牌转化为强大的英雄与神器，并获取帕西提亚！将「救赎」与「梦境」「谵妄」搭配，对局更加精彩！<br><br><b><align=center>包含 51 张独特<br>新卡。,draft,运行时漏译；确认是游戏 UI 后再填;pass14
run_91f6dad8e442,runtime_gaps,exact,,untranslated.tsv,"Dark forces have taken over the Dreamscape. Team up with Pasythea, collect her legendary weapons, and return order to her world!<br><br>Use the Insight resources and Dreamborn cards to save the Dreamscape. Bind Monsters to your deck and use them in battle! Transform cards to incredible heroes and Constructs and acquire Pasythea! Pair Deliverance with Dreamscape and Delirium for an even more exciting game!<br><br><b><align=center>Includes 51 unique new cards.",黑暗势力已占据梦境。与帕西提亚并肩作战，收集她的传奇武器，让她的世界恢复秩序！<br><br>运用洞察与梦生卡拯救梦境；将怪物束缚进你的牌库并投入战斗！把卡牌转化为强大的英雄与神器，并获取帕西提亚！将「救赎」与「梦境」「谵妄」搭配，对局更加精彩！<br><br><b><align=center>包含 51 张独特新卡。,draft,运行时漏译；确认是游戏 UI 后再填;pass14
run_cfb786eeb861,runtime_gaps,exact,,untranslated.tsv,"Delirium brings players back into the Dreamscape, facing a twisted new reality.<br><br>Insight and Dreamborn cards are back, but with new powers to unlock with them.<br><br>Win Fate Auctions, Recur hero effects, and roll the amazing Delirium Die with your Insight to gain an edge against the other players!<br><br><b><align=center>Includes 49 unique new cards.",「谵妄」将玩家带回梦境，面对扭曲的新现实。<br><br>洞察与梦生卡回归，并带来全新可解锁的力量。<br><br>赢得天命拍卖、复发英雄效果，再用洞察掷出谵妄骰，抢占对其他玩家的优势！<br><br><b><align=center>包含 49 张独特新卡。,draft,运行时漏译；确认是游戏 UI 后再填;pass14
run_61b6e4cb9c42,runtime_gaps,exact,,untranslated.tsv,"* New dual-cost Heroes and Constructs require players to use both resources to acquire them, but have incredible power!
*As the balance between Light and Dark shifts, cards gain additional powers depending on whether it is Night or Day.","* 新的双费英雄与神器需要同时花费两种资源才能获取，但拥有惊人力量！
* 随着光暗平衡推移，卡牌会依当前为夜或昼获得额外能力。",draft,运行时漏译；确认是游戏 UI 后再填
run_28fb15ba45c1,runtime_gaps,exact,,untranslated.tsv,"You already own one or more items contained in this bundle.
Individual items can be purchased from the ""Purchase Separately"" menu.
Are you sure you wish to purchase the bundle?","此组合包 中你已拥有一件或多件内容。
可从「分开购买」菜单单独购买。
确定要购买此组合包 吗？",draft,workbench_fill2;pass14
run_3bf091b14823,runtime_gaps,exact,,untranslated.tsv,"<smallcaps><size=120%><b>Administration</b></size></smallcaps>

<smallcaps><color=#1C4E80C8>Chief Executive Officer, Playdek</color></smallcaps>
Joel Goodman


",,skip,制作人员名单
run_8aec55c669f8,runtime_gaps,exact,,untranslated.tsv,"Purchase all the Ascension bundles for one low price!<br><br>Includes Bundle #1 through Bundle #5.  

That's 630 <b>unique</b> new cards to play with.",以优惠价格购买全部创升纪元组合包！<br><br>包含 Bundle #1 至 Bundle #5。<br><br>共 630 张 <b>独特</b> 卡牌！,draft,pass3_reopen;pass14
run_abe35b530506,runtime_gaps,exact,,untranslated.tsv,"If you have never created a Playdek account, please click on the ""Create Account"" button and follow the process to create a new online account.",若你从未创建过 Playdek 账号，请点击「创建账号」按钮。,draft,pass3_reopen
run_39ff0a87f3a0,runtime_gaps,exact,,untranslated.tsv,"Confirmation Popup Text Here
Confirmation Popup Text Here Confirmation Popup Text HereConfirmation Popup Text HereConfirmation Popup Text Here",,skip,占位弹窗
run_4a3df004d11a,runtime_gaps,exact,,untranslated.tsv,"Info blocky of Info
Info block of Info
Info block of Info block of Info
Info block of Info
Info block of Info
Info block of Info",,skip,占位 Info block
run_ab277b78fdff,runtime_gaps,exact,,untranslated.tsv,If you previously had a Playdek account or use one for our other games you may login with that account email and password.,若你以前有过 Playdek 账号，或在我们其他游戏中使用过，可用该账号邮箱与密码登录。,draft,pass3_reopen
run_a9bdc4cfbb3b,runtime_gaps,exact,,untranslated.tsv,Share your gameplay analytics with Playdek to help improve Ascension? This can be changed anytime in the Options Menu.,是否与 Playdek 分享游戏分析数据以改进创升纪元？可随时在选项菜单中更改。,draft,reopened
