id,area,match,key,context,en,zh,status,notes
tut_b990e295cd15,tutorial,key,TUTORIAL_PROMPT_ACQUIREARHAINITIATE,TUTORIAL_PROMPT_ACQUIREARHAINITIATE,Drag Arha Initiate to your Discard Pile,将亚哈新兵拖到你的弃牌堆,draft,
tut_69056709bd95,tutorial,key,TUTORIAL_PROMPT_ACQUIREEMRI,TUTORIAL_PROMPT_ACQUIREEMRI,Drag Emri to your Discard Pile,将艾姆瑞拖到你的弃牌堆,draft,
tut_d560fd8af74e,tutorial,key,TUTORIAL_PROMPT_ACQUIREMURAMASA,TUTORIAL_PROMPT_ACQUIREMURAMASA,Drag Muramasa to your Discard Pile,将村正拖到你的弃牌堆,draft,
tut_7d0e6fa0a464,tutorial,key,TUTORIAL_PROMPT_ACQUIREMYSTIC,TUTORIAL_PROMPT_ACQUIREMYSTIC,Drag a Mystic to your Discard Pile,将一张秘教士拖到你的弃牌堆,draft,
tut_41f3ee7bf544,tutorial,key,TUTORIAL_PROMPT_ACQUIRESNAPDRAGON,TUTORIAL_PROMPT_ACQUIRESNAPDRAGON,Drag the Snapdragon to your Discard Pile,将金鱼草拖到你的弃牌堆,draft,
tut_e1cfe26cf949,tutorial,key,TUTORIAL_PROMPT_ACQUIREWOLFSHAMAN,TUTORIAL_PROMPT_ACQUIREWOLFSHAMAN,Drag the Wolf Shaman to your Discard Pile,将狼萨满拖到你的弃牌堆,draft,
tut_2e641926d658,tutorial,key,TUTORIAL_PROMPT_CONTINUE,TUTORIAL_PROMPT_CONTINUE,${CLICK_C} to Continue,${CLICK_C} 继续,draft,pass14
tut_e6df36db4163,tutorial,key,TUTORIAL_PROMPT_DEFEATCULTIST,TUTORIAL_PROMPT_DEFEATCULTIST,Drag the Cultist to the Void,将邪教徒拖到虚空区,draft,
tut_7fbfee756b52,tutorial,key,TUTORIAL_PROMPT_DEFEATWINDTRYANT,TUTORIAL_PROMPT_DEFEATWINDTRYANT,Drag Wind Tyrant into the Void,将风之暴君拖到虚空区,draft,
tut_9173be77e3e7,tutorial,key,TUTORIAL_PROMPT_ENDTURN,TUTORIAL_PROMPT_ENDTURN,${CLICK_C} the End Turn button,${CLICK_C}「结束回合」按钮,draft,pass14
tut_b7233dcbb274,tutorial,key,TUTORIAL_PROMPT_PLAYAPPRENTICE,TUTORIAL_PROMPT_PLAYAPPRENTICE,Drag an Apprentice into the Action Area,将一张学徒拖到行动区,draft,
tut_8bc32b82a94b,tutorial,key,TUTORIAL_PROMPT_PLAYARHAINITIATE,TUTORIAL_PROMPT_PLAYARHAINITIATE,Drag Arha Initiate into the Action Area,将亚哈新兵拖到行动区,draft,
tut_555fcd58ea6b,tutorial,key,TUTORIAL_PROMPT_PLAYEMRI,TUTORIAL_PROMPT_PLAYEMRI,"Drag Emri, One with the Void into the Action Area",将与虚空合一的艾姆瑞拖到行动区,draft,
tut_62ba72ef4ade,tutorial,key,TUTORIAL_PROMPT_PLAYMILITIA,TUTORIAL_PROMPT_PLAYMILITIA,Drag a Militia into the Action Area,将一张民兵拖到行动区,draft,
tut_6fa170bbd0dd,tutorial,key,TUTORIAL_PROMPT_PLAYSNAPDRAGON,TUTORIAL_PROMPT_PLAYSNAPDRAGON,Drag Snapdragon to the Action Area,将金鱼草拖到行动区,draft,
tut_7745d61b15d1,tutorial,key,TUTORIAL_PROMPT_PLAYWOLFSHAMAN,TUTORIAL_PROMPT_PLAYWOLFSHAMAN,Drag Wolf Shaman into the Action Area,将狼萨满拖到行动区,draft,
tut_07a46ab06bde,tutorial,key,TUTORIAL_TEXT_1,TUTORIAL_TEXT_1,Ascension is a deck building game.<br><br>Each player begins the game with an identical deck of ten cards that they improve as the game progresses.,创升纪元是一款牌库构筑游戏。<br><br>每位玩家以相同的十张初始套牌开始，并在对局中不断强化自己的牌库。,draft,
tut_f85c5f8972ce,tutorial,key,TUTORIAL_TEXT_10,TUTORIAL_TEXT_10,The number in the upper right corner of a card is the cost to acquire or defeat that card.,卡牌右上角的数字是获取或击败它所需的费用。,draft,
tut_2b786abea51c,tutorial,key,TUTORIAL_TEXT_11,TUTORIAL_TEXT_11,"To acquire a Mystic, you must have 3 Runes to spend.<br><br>Play another Apprentice to gain a second Rune.",要获取一张秘教士，你需要花费 3 点符文。<br><br>再打出一张学徒以获得第二点符文。,draft,
tut_5fc002e73b30,tutorial,key,TUTORIAL_TEXT_12,TUTORIAL_TEXT_12,"To acquire a Mystic, you must have 3 Runes to spend.<br><br>Play your third Apprentice to gain another Rune.",要获取一张秘教士，你需要花费 3 点符文。<br><br>打出第三张学徒以再获得 1 点符文。,draft,
tut_6344d3c6244c,tutorial,key,TUTORIAL_TEXT_13,TUTORIAL_TEXT_13,You now have enough Runes<br>to acquire a Mystic.,你现在有足够的符文<br>来获取一张秘教士。,draft,
tut_970c51b6d628,tutorial,key,TUTORIAL_TEXT_14,TUTORIAL_TEXT_14,"When you acquire a card, it goes to your discard pile and will be available to you the next time you go through your deck.",获取的卡牌会进入你的弃牌堆；下次洗入牌库后即可再度使用。,draft,pass14
tut_1a137e956fe9,tutorial,key,TUTORIAL_TEXT_15,TUTORIAL_TEXT_15,"When a card can be acquired, it will be surrounded by a green halo.<br><br>Try acquiring a Mystic now.",可以获取的卡牌会带有绿色光晕。<br><br>现在试着获取一张秘教士。,draft,
tut_1a2fbc2acce9,tutorial,key,TUTORIAL_TEXT_16,TUTORIAL_TEXT_16,"To defeat a monster, you must spend Power  <sprite=0>.<br><br>Defeating the Cultist requires 2 Power.",要击败怪物，必须花费战力 <sprite=0>。<br><br>击败邪教徒需要 2 点战力。,draft,
tut_87cf2931228d,tutorial,key,TUTORIAL_TEXT_17,TUTORIAL_TEXT_17,"To defeat the Cultist, you must spend 2 Power.<br><br>Play a Militia from your hand to gain Power.",要击败邪教徒，必须花费 2 点战力。<br><br>从手牌打出一张民兵以获得战力。,draft,
