en,zh
A Complete Transformation,完全转化
A Legend Among Legends,传奇中的传奇
Achievements,成就
Acquire 1000 center row Heroes,获取 1000 张中央牌列英雄
Acquire all Dreamborn cards in Dreamscape,获取《梦境》中的全部梦生牌
Acquire all five of the Transformed Events/Heroes across multiple games,在多局中获取全部五种已转化事件/英雄
Acquire all Vision cards in Dreamscape,获取《梦境》中的全部幻视牌
Acquire Dream Machine with P.R.I.M.E.,用 P.R.I.M.E. 获取梦境机器
Acquire five or more treasure in the same turn,同一回合获取五件或更多宝藏
Acquire Hedron Cannon after defeating Avatar of the Fallen that turn,本回合击败堕落化身后获取赫德隆加农
Acquire or defeat every card in Chronicle of the Godslayer,获取或击败《弑神编年史》中的每一张牌
Acquire or defeat every card in Return of the Fallen,获取或击败《堕落者归来》中的每一张牌
Acquire or defeat every card in Storm of Souls,获取或击败《灵魂风暴》中的每一张牌
Acquire Oziah for free with Energy,用能量免费获取奥齐亚
"Acquire Pasythea, the Aegis using Pasythea's Ward",用帕西提亚护符获取神盾帕西提亚
"Acquire Pasythea, The Redeemed for free",免费获取被救赎的帕西提亚
Acquire two Dream Vision cards without paying their cost during a single game,同一局中无需支付费用获取两张梦境幻视牌
Activate the Phantasm effect five times in a single game,同一局发动幻影效果五次
Activate the Plunder effect five times in a single game,同一局发动掠夺效果五次
All,全部
"All Day, All Night",日日夜夜
Ascension: A Deck Empowering Game,创升：牌库赋能游戏
Assassin,刺客
B.F. Sword,大剑
Beastly Staff,野兽之杖
Boon Balloon,恩赐气球
Born Again,重生
Builder,建造者
Catch 'em all!,全部抓住！
Champion Of Champions,冠军中的冠军
Clean Bill of Health,体检全绿
Cobra King Midas,眼镜蛇迈达斯
Cult Friendly,邪教之友
Cult Killer,邪教克星
Deal With It,认了吧
Defeat 1000 center row Monsters,击败 1000 只中央牌列怪物
"Defeat a Monster in the Center Row with Emri's Sting and Emri, Demonsbane",用艾姆瑞之蛰与恶魔克星艾姆瑞击败中央牌列怪物
Defeat all 5 Growmites in the same game,同一局击败全部 5 只生长螨
Defeat and Energize Herald of Doom,击败并充能末日使者
"Defeat Aranyx, the Glutton and Xeron, Lord of Deofol on the same turn",同一回合击败贪食者阿兰尼克斯与迪奥弗之主泽伦
Defeat Avatar of the Fallen and Samael the Fallen in the same turn,同一回合击败堕落化身与堕落者萨麦尔
Defeat five Hellfrost Imps on a single turn,同一回合击败五只狱霜小恶魔
Defeat five monsters in a single turn with Oziah,用奥齐亚在同一回合击败五只怪物
Defeat Samael the Fallen with Adayu,用阿达尤击败堕落者萨麦尔
"Defeat Xeron, Duke of Lies in a 4 player game",在 4 人局中击败谎言之公爵泽伦
Deja Vu,似曾相识
Devil's Triangle,魔鬼三角
Don't Feed Them After Midnight,午夜后别喂它们
Don't Mind If Adayu,阿达尤不介意
Draaaaaaaw!,抽——牌！
Dream Big,大胆做梦
Dream On,继续做梦
Energizer Bunny,劲量兔
First Beatdown,首次击败
Follow The Leader,跟随领袖
Four Of Swords,宝剑四
Freebee,白嫖
Gain 10 energy in one turn,同一回合获得 10 点能量
"Gain 20 Honor in a single turn with Jakeb, Cobra King",用眼镜蛇王杰克布在同一回合获得 20 荣誉
Gain 5 Honor or more from the reveal of Beast Staff,从野兽之杖的展示中获得 5 点或更多荣誉
Gain 9001 honor points,获得 9001 点荣誉
Gain a DAY bonus and a NIGHT bonus in the same turn,同一回合获得昼奖励与夜奖励
Gain more than 20 Honor by playing a single card,打出单张牌获得超过 20 荣誉
Glutton For Punishment,自讨苦吃
God Of Plunder,掠夺之神
Greedy Treasure Hunter,贪婪寻宝者
Harbinger Of Winning,胜利先兆
Have at least one of each Mechana construct from Chronicle of the Godslayer in play at the same time,同时在场至少各一件《弑神编年史》的机械神器
Have Everything (CotG),应有尽有（弑神）
Have Everything (RotF),应有尽有（归来）
Have Everything (SoS),应有尽有（风暴）
Have Moken the Huntsmaster in your deck with at least 10 treasures,牌库中有猎主莫肯且至少有 10 件宝藏
Have one of each Return of the Fallen Monster in your deck while Samael is in play,萨麦尔在场时，牌库中各有一只《堕落者归来》怪物
