id,card_set,display_name,effect_text,flavor_text,source
"Vedah, Sage of Swords",promo,"Vedah, Sage of Swords",Reveal the top 卡牌 of the center 牌库.  抽 it or defeat it.,,draft
Giant Rat,promo,Giant Rat,"Any 卡牌 underneath Giant Rat cannot be acquired, banished, or defeated until Giant Rat is banished or defeated.
奖励：获得1荣誉.",,draft
Rat King,promo,Rat King,"When Rat King enters the 中央牌列, place a Giant Rat on top of each other 中央牌列 space.
奖励：获得4荣誉 and defeat all Giant Rats in 打出.",,draft
Pathwarden,promo,Pathwarden,获得2符文.  你可以spend R as though it was P 本回合.,,draft
Deep Drone,promo,Deep Drone,获得2符文.  Put the next construct you acquire 本回合 directly 进入战场.,,draft
Void Mesmer,promo,Void Mesmer,"获得2战力.  The next time you defeat a 怪物 本回合, 你可以acquire a 英雄 of equal 或更低er cost.",,draft
"Kythis, the Gatekeeper",promo,"Kythis, the Gatekeeper","When Kythis enters the 中央牌列, take the top 卡牌 of the center 牌库 and place it face down underneath him.
",,draft
Journeyman Sage,promo,Journeyman Sage,"FATE: When this enters the 中央牌列, each player may banish a 英雄 in their 手牌 to acquire a 秘教士 or 重装步兵 and add it to their 手牌.
",,draft
Nethersnare,promo,Nethersnare,"每回合一次，if there is no 怪物 under this, 你可以put a 怪物 from the 中央牌列 under it.
",,draft
Askara of Fortune,promo,Askara of Fortune,Each player reveals the top 卡牌 of their 牌库. ,,draft
Hedron Flare,promo,Hedron Flare,每回合一次，你可以acquire a 机械 英雄 在中央牌列 无需支付费用.,,draft
"Cetra, Guide of Ogo",promo,"Cetra, Guide of Ogo",获取 all Heroes 在中央牌列 无需支付 their costs. ,,draft
Ring of Life,promo,Ring of Life,"每回合一次，if you have played a 生命英雄, 获得1符文. ",,draft
Ender of Days,promo,Ender of Days,奖励：获得10荣誉. Remove all 荣誉 from the 荣誉 Pool.,,draft
Leprechaun,promo,Leprechaun,获得2符文.  获取一个Pot of Gold from the End of the Rainbow or from another player's control.,,draft
Pot of Gold,promo,Pot of Gold,"When you 打出 this, 抽一张牌.  When you 打出 a Leprechaun, 获得1荣誉.",,draft
"Miles, Golden Prodigy",promo,"Miles, Golden Prodigy","抽一张牌. Whenever you 打出 a 卡牌 of another faction 本回合, 抽一张牌. This only happens once per faction.",,draft
Control Room,promo,Control Room,"每回合一次，你可以put a 机械神器 you control on top of the center 牌库.
",,draft
Soul Collector,promo,Soul Collector,"每回合一次，add a Soul counter to this if you've defeated a 怪物 在中央牌列.
",,draft
Arha Sanctuary,promo,Arha Sanctuary,"When this enters 打出, put the top 卡牌 of your 牌库 under this face up.
",,draft
Moon Staff,promo,Moon Staff,每回合一次，你可以spend 4符文 to double your power.,,draft
Constricting Horror,promo,Constricting Horror,奖励：获得4荣誉. Reveal cards from the center 牌库 until you reveal a 英雄. ,,draft
Big Bad Bunny,promo,Big Bad Bunny,FATE: Place a 卡牌 from the center 牌库 facedown under this and each other 卡牌 在中央牌列. ,,draft
Lotus Siren,promo,Lotus Siren,"获得2符文.
",,draft
Aether Channeler,promo,Aether Channeler,放逐一张卡牌 from your 手牌.  Replace it with a random hero and put it 在你的手牌中.,,draft
Spirit of the Ancients,promo,Spirit of the Ancients,Choose a 生命英雄 that hasn't been chosen with this before. This 卡牌 counts as a copy of that 英雄.,,draft
Temporal Excavator,promo,Temporal Excavator,:  Add one 卡牌 and if it is already there then banish it and replace it.,,draft
Eternal Tormentor,promo,Eternal Tormentor,击败一个random 怪物 in the void 无需支付费用s and put it on the bottom of the center 牌库.,,draft
Explosive Swarm,promo,Explosive Swarm,"奖励：获得4荣誉. When an adjacent non-怪物 卡牌 would be replaced,",,draft
Portal,promo,Portal,This is any hero or construct that could be found in the center 牌库 of any Ascension set. ,,draft
Aether Curator,promo,Aether Curator,"放逐一张卡牌 在中央牌列. Replace it with a Portal.
",,draft
Aetherspring Witch,promo,Aetherspring Witch,"Choose one: 获得3荣誉, or acquire a Portal 在中央牌列 无需支付费用.",,draft
Destroyer's Gate,promo,Destroyer's Gate,"After a certain amount of time, this transforms into something awesome!",,draft
Aether Ritualist,promo,Aether Ritualist,"获得2战力.
",,draft
Tollmaster Ky'lek,promo,Tollmaster Ky'lek,"FATE: 放逐 all other cards 在中央牌列 and replace them with Portals.
",,draft
Defender of Vigil,promo,Defender of Vigil,"获得2符文 and 2战力.
",,draft
"David, Prophetic Guide",promo,"David, Prophetic Guide","抽 three 卡牌, then put two cards from your 手牌 放到你的牌库顶 in any order.",,draft
Eye of Potential,promo,Eye of Potential,每回合一次，你可以banish a 卡牌 在你的手牌中. ,,draft
"Forrest, Beastwarden",promo,"Forrest, Beastwarden","获得2符文.
",,draft
Lunar Matriarch,promo,Lunar Matriarch,"获得5荣誉.
",,draft
N.I.N.E.,promo,N.I.N.E.,"获得2符文.
",,draft
Tinkering Monk,promo,Tinkering Monk,"获得2符文.
",,draft
Ethereal Huntress,promo,Ethereal Huntress,"获得3战力.
",,draft
Chaos Rider,promo,Chaos Rider,"获得3战力.
",,draft
"Nova, Born of Chaos",promo,"Nova, Born of Chaos",奖励：All players return all 荣誉点数 to the honor pool. ,,draft
Stone Blade Templar,promo,Stone Blade Templar,"Reveal and banish the top 卡牌 of the Center Deck. If its faction is:
",,draft
Spire of the Wind,promo,Spire of the Wind,每回合一次，你可以discard 卡牌 from your 手牌 to 抽一张牌.,,draft
Seed of the World,promo,Seed of the World,"每回合一次，when you acquire a 英雄 in the 中央牌列,",,draft
Chaotic Cannon,promo,Chaotic Cannon,每回合一次，discard the top 卡牌 of your 牌库 to 获得Power equal to its 荣誉 value.,,draft
The Aethermourne,promo,The Aethermourne,每回合一次，获得Power equal to the number of Monsters in the 中央牌列.,,draft
Puggageddon,promo,Puggageddon,奖励：获得2 荣誉. Put this into another player's 弃牌堆. ,,draft
Twilight Scout,WoS,Twilight Scout,"抽一张牌.
",,draft
Inspired Templar,WoS,Inspired Templar,"击败一个怪物 with cost 4战力 或更低 无需支付费用.
",,draft
Pillar of Resolve,WoS,Pillar of Resolve,"每回合一次，if you have played a 秘教士 and a 重装步兵, 抽两张牌.",,draft
